equipo1,equipo2,posesión equipo1,posesión equipo2,posesión en competencia,goles equipo1,goles equipo2,intentos equipo1,intentos equipo2,fecha,hora,categoría
NETHERLANDS,UNITED STATES,33%,54%,13%,3,1,11,18,03 DEC 2022,16 : 00,Round of 16
ARGENTINA,AUSTRALIA,53%,35%,12%,2,1,14,5,03 DEC 2022,20 : 00,Round of 16
FRANCE,POLAND,48%,42%,10%,3,1,16,11,04 DEC 2022,16 : 00,Round of 16
ENGLAND,SENEGAL,54%,35%,11%,3,0,8,10,04 DEC 2022,20 : 00,Round of 16
JAPAN,CROATIA,35%,51%,14%,1,1,12,16,05 DEC 2022,16 : 00,Round of 16
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4,1,18,10,05 DEC 2022,20 : 00,Round of 16
MOROCCO,SPAIN,22%,68%,10%,0,0,6,13,06 DEC 2022,16 : 00,Round of 16
PORTUGAL,SWITZERLAND,43%,48%,9%,6,1,14,10,06 DEC 2022,20 : 00,Round of 16
CROATIA,BRAZIL,45%,45%,10%,1,1,9,20,09 DEC 2022,16 : 00,Quarter-final
NETHERLANDS,ARGENTINA,45%,44%,11%,2,2,5,15,09 DEC 2022,20 : 00,Quarter-final
MOROCCO,PORTUGAL,22%,65%,13%,1,0,9,11,10 DEC 2022,16 : 00,Quarter-final
ENGLAND,FRANCE,54%,36%,10%,1,2,14,9,10 DEC 2022,20 : 00,Quarter-final
ARGENTINA,CROATIA,34%,54%,12%,3,0,10,12,13 DEC 2022,20 : 00,Semi-final
FRANCE,MOROCCO,34%,55%,11%,2,0,14,13,14 DEC 2022,20 : 00,Semi-final
CROATIA,MOROCCO,45%,45%,10%,2,1,14,7,17 DEC 2022,16 : 00,Play-off for third place
ARGENTINA,FRANCE,46%,40%,14%,3,3,21,10,18 DEC 2022,16 : 00,Final
